         0     gagagaga
         8     atomdat1
 0101  284    1           hydrogen molecule
  140   22231.4  1  5  9  14.25 2.47e+00 x:(singlet sigma,+g) (1s-sigma)
  141   22989.3  1  5 10   5.25 2.52e+00 x:(singlet sigma,+g) (1s-sigma)
  142   23794.1  1  5 11  17.25 2.57e+00 x:(singlet sigma,+g) (1s-sigma)
  143   24639.0  1  5 12   6.25 2.63e+00 x:(singlet sigma,+g) (1s-sigma)
  144   25517.3  1  5 13  20.25 2.69e+00 x:(singlet sigma,+g) (1s-sigma)
  145   26422.8  1  5 14   7.25 2.76e+00 x:(singlet sigma,+g) (1s-sigma)
  146   27349.6  1  5 15  23.25 2.84e+00 x:(singlet sigma,+g) (1s-sigma)
  147   28292.5  1  5 16   8.25 2.93e+00 x:(singlet sigma,+g) (1s-sigma)
  148   29247.4  1  5 17  26.25 3.03e+00 x:(singlet sigma,+g) (1s-sigma)
  149   30211.3  1  5 18   9.25 3.14e+00 x:(singlet sigma,+g) (1s-sigma)
  150   31182.6  1  5 19  29.25 3.28e+00 x:(singlet sigma,+g) (1s-sigma)
  151   32161.4  1  5 20  10.25 3.44e+00 x:(singlet sigma,+g) (1s-sigma)
  152   33149.9  1  5 21  32.25 3.66e+00 x:(singlet sigma,+g) (1s-sigma)
  153   34152.7  1  5 22  11.25 3.97e+00 x:(singlet sigma,+g) (1s-sigma)
  154   35176.9  1  5 23  35.25 4.54e+00 x:(singlet sigma,+g) (1s-sigma)
  155   21493.4  1  6  0   0.25 2.43e+00 x:(singlet sigma,+g) (1s-sigma)
  156   21577.4  1  6  1   2.25 2.43e+00 x:(singlet sigma,+g) (1s-sigma)
  157   21744.6  1  6  2   1.25 2.44e+00 x:(singlet sigma,+g) (1s-sigma)
  158   21993.2  1  6  3   5.25 2.46e+00 x:(singlet sigma,+g) (1s-sigma)
  159   22320.4  1  6  4   2.25 2.48e+00 x:(singlet sigma,+g) (1s-sigma)
  160   22722.9  1  6  5   8.25 2.50e+00 x:(singlet sigma,+g) (1s-sigma)
  161   23196.4  1  6  6   3.25 2.53e+00 x:(singlet sigma,+g) (1s-sigma)
  162   23735.9  1  6  7  11.25 2.57e+00 x:(singlet sigma,+g) (1s-sigma)
  163   24335.8  1  6  8   4.25 2.61e+00 x:(singlet sigma,+g) (1s-sigma)
  164   24989.9  1  6  9  14.25 2.65e+00 x:(singlet sigma,+g) (1s-sigma)
  165   25691.5  1  6 10   5.25 2.70e+00 x:(singlet sigma,+g) (1s-sigma)
  166   26433.7  1  6 11  17.25 2.76e+00 x:(singlet sigma,+g) (1s-sigma)
  167   27209.2  1  6 12   6.25 2.83e+00 x:(singlet sigma,+g) (1s-sigma)
